sample_id,instr,playing_mode,sounding_note,dyn,acoustic_density,filename
cello_D5_ff,cello,ordinary,D5,ff,10.468696,cello_ordinary_cdm.json
cello_D#5_pp,cello,ordinary,D#5,pp,13.025811,cello_ordinary_cdm.json
cello_D#5_mf,cello,ordinary,D#5,mf,13.102937,cello_ordinary_cdm.json
cello_D#5_ff,cello,ordinary,D#5,ff,11.628465,cello_ordinary_cdm.json
cello_E5_pp,cello,ordinary,E5,pp,11.857755,cello_ordinary_cdm.json
cello_E5_mf,cello,ordinary,E5,mf,16.521954,cello_ordinary_cdm.json
cello_E5_ff,cello,ordinary,E5,ff,11.463454,cello_ordinary_cdm.json
cello_F5_pp,cello,ordinary,F5,pp,9.650069,cello_ordinary_cdm.json
cello_F5_mf,cello,ordinary,F5,mf,10.959162,cello_ordinary_cdm.json
cello_F5_ff,cello,ordinary,F5,ff,10.71602,cello_ordinary_cdm.json
cello_F#5_pp,cello,ordinary,F#5,pp,11.020324,cello_ordinary_cdm.json
cello_F#5_mf,cello,ordinary,F#5,mf,11.319224,cello_ordinary_cdm.json
cello_F#5_ff,cello,ordinary,F#5,ff,8.531904,cello_ordinary_cdm.json
cello_G5_pp,cello,ordinary,G5,pp,12.291407,cello_ordinary_cdm.json
cello_G5_mf,cello,ordinary,G5,mf,12.544536,cello_ordinary_cdm.json
cello_G5_ff,cello,ordinary,G5,ff,9.737352,cello_ordinary_cdm.json
cello_G#5_pp,cello,ordinary,G#5,pp,9.134798,cello_ordinary_cdm.json
cello_G#5_mf,cello,ordinary,G#5,mf,10.507846,cello_ordinary_cdm.json
cello_G#5_ff,cello,ordinary,G#5,ff,9.123474,cello_ordinary_cdm.json
cello_A5_pp,cello,ordinary,A5,pp,10.925793,cello_ordinary_cdm.json
cello_A5_mf,cello,ordinary,A5,mf,9.76158,cello_ordinary_cdm.json
cello_A5_ff,cello,ordinary,A5,ff,11.684549,cello_ordinary_cdm.json
cello_A#5_pp,cello,ordinary,A#5,pp,7.358502,cello_ordinary_cdm.json
cello_A#5_mf,cello,ordinary,A#5,mf,8.5362,cello_ordinary_cdm.json
cello_A#5_ff,cello,ordinary,A#5,ff,7.520315,cello_ordinary_cdm.json
cello_B5_pp,cello,ordinary,B5,pp,6.36754,cello_ordinary_cdm.json
cello_B5_mf,cello,ordinary,B5,mf,7.200545,cello_ordinary_cdm.json
cello_B5_ff,cello,ordinary,B5,ff,6.453896,cello_ordinary_cdm.json
cello_C6_pp,cello,ordinary,C6,pp,5.157752,cello_ordinary_cdm.json
cello_C6_mf,cello,ordinary,C6,mf,5.576198,cello_ordinary_cdm.json
cello_C6_ff,cello,ordinary,C6,ff,5.262571,cello_ordinary_cdm.json
double_bass_E1_pp,double_bass,ordinary,E1,pp,62.851741,double_bass_ordinary_cdm.json
double_bass_E1_mf,double_bass,ordinary,E1,mf,68.146968,double_bass_ordinary_cdm.json
double_bass_E1_ff,double_bass,ordinary,E1,ff,89.556281,double_bass_ordinary_cdm.json
double_bass_F1_pp,double_bass,ordinary,F1,pp,68.342967,double_bass_ordinary_cdm.json
double_bass_F1_mf,double_bass,ordinary,F1,mf,67.911881,double_bass_ordinary_cdm.json
double_bass_F1_ff,double_bass,ordinary,F1,ff,89.668777,double_bass_ordinary_cdm.json
double_bass_F#1_pp,double_bass,ordinary,F#1,pp,52.403571,double_bass_ordinary_cdm.json
double_bass_F#1_mf,double_bass,ordinary,F#1,mf,73.72935,double_bass_ordinary_cdm.json
double_bass_F#1_ff,double_bass,ordinary,F#1,ff,67.243636,double_bass_ordinary_cdm.json
double_bass_G1_pp,double_bass,ordinary,G1,pp,38.374667,double_bass_ordinary_cdm.json
double_bass_G1_mf,double_bass,ordinary,G1,mf,66.292509,double_bass_ordinary_cdm.json
double_bass_G1_ff,double_bass,ordinary,G1,ff,55.636976,double_bass_ordinary_cdm.json
double_bass_G#1_pp,double_bass,ordinary,G#1,pp,33.78353,double_bass_ordinary_cdm.json
double_bass_G#1_mf,double_bass,ordinary,G#1,mf,38.567668,double_bass_ordinary_cdm.json
double_bass_G#1_ff,double_bass,ordinary,G#1,ff,48.585372,double_bass_ordinary_cdm.json
double_bass_A1_pp,double_bass,ordinary,A1,pp,45.241833,double_bass_ordinary_cdm.json
double_bass_A1_mf,double_bass,ordinary,A1,mf,52.909195,double_bass_ordinary_cdm.json
double_bass_A1_ff,double_bass,ordinary,A1,ff,59.800076,double_bass_ordinary_cdm.json
double_bass_A#1_pp,double_bass,ordinary,A#1,pp,40.561869,double_bass_ordinary_cdm.json
double_bass_A#1_mf,double_bass,ordinary,A#1,mf,55.597516,double_bass_ordinary_cdm.json
double_bass_A#1_ff,double_bass,ordinary,A#1,ff,60.707733,double_bass_ordinary_cdm.json
double_bass_B1_pp,double_bass,ordinary,B1,pp,50.526032,double_bass_ordinary_cdm.json
double_bass_B1_mf,double_bass,ordinary,B1,mf,53.54672,double_bass_ordinary_cdm.json
double_bass_B1_ff,double_bass,ordinary,B1,ff,56.366389,double_bass_ordinary_cdm.json
double_bass_C2_pp,double_bass,ordinary,C2,pp,42.869054,double_bass_ordinary_cdm.json
double_bass_C2_mf,double_bass,ordinary,C2,mf,39.524911,double_bass_ordinary_cdm.json
double_bass_C2_ff,double_bass,ordinary,C2,ff,58.083162,double_bass_ordinary_cdm.json
double_bass_C#2_pp,double_bass,ordinary,C#2,pp,37.226914,double_bass_ordinary_cdm.json
double_bass_C#2_mf,double_bass,ordinary,C#2,mf,35.329676,double_bass_ordinary_cdm.json
double_bass_C#2_ff,double_bass,ordinary,C#2,ff,42.092935,double_bass_ordinary_cdm.json
double_bass_D2_pp,double_bass,ordinary,D2,pp,37.378471,double_bass_ordinary_cdm.json
double_bass_D2_mf,double_bass,ordinary,D2,mf,34.144331,double_bass_ordinary_cdm.json
double_bass_D2_ff,double_bass,ordinary,D2,ff,39.381996,double_bass_ordinary_cdm.json
double_bass_D#2_pp,double_bass,ordinary,D#2,pp,34.858534,double_bass_ordinary_cdm.json
double_bass_D#2_mf,double_bass,ordinary,D#2,mf,38.938187,double_bass_ordinary_cdm.json
double_bass_D#2_ff,double_bass,ordinary,D#2,ff,41.851193,double_bass_ordinary_cdm.json
double_bass_E2_pp,double_bass,ordinary,E2,pp,39.820352,double_bass_ordinary_cdm.json
double_bass_E2_mf,double_bass,ordinary,E2,mf,44.904327,double_bass_ordinary_cdm.json
double_bass_E2_ff,double_bass,ordinary,E2,ff,52.605099,double_bass_ordinary_cdm.json
double_bass_F2_pp,double_bass,ordinary,F2,pp,32.057125,double_bass_ordinary_cdm.json
double_bass_F2_mf,double_bass,ordinary,F2,mf,44.57688,double_bass_ordinary_cdm.json
double_bass_F2_ff,double_bass,ordinary,F2,ff,41.662093,double_bass_ordinary_cdm.json
double_bass_F#2_pp,double_bass,ordinary,F#2,pp,31.415176,double_bass_ordinary_cdm.json
double_bass_F#2_mf,double_bass,ordinary,F#2,mf,36.710454,double_bass_ordinary_cdm.json
double_bass_F#2_ff,double_bass,ordinary,F#2,ff,41.643499,double_bass_ordinary_cdm.json
